geonameid,name,lat,lon,region,department,population,settlement_morpheme,naming_language,religious_element,ethnonym,ethnonym_stem,split_ordinal,patronym,patronym_group,eco_term,eco_kind,name_reuse_count
2252163,Dombondir,13.13656,-16.69289,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252162,Donaye,16.63982,-14.86852,Saint Louis,Podor,0,,,,,,,,,,,1
2252159,Donbondir,13.13611,-16.69528,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252156,Dongo,15.2036,-15.4915,Louga,Linguere,0,,,,,,,,,,,1
6917786,Dongol Nialbi,12.5005,-12.4949,Kedougou,Kedougou,0,,,,,,,,,,,1
2252155,Dongoli,15.86667,-13.85,Matam,Matam,0,,,,,,,,,,,1
2252153,Dongoro,13.65,-15.63333,Kaolack,Nioro Du Rip,0,,,,,,,,,,,2
2252154,Dongoro,13.3,-15.48333,Sedhiou,Bounkiling,0,,,,,,,,,,,2
2252149,Doni Taïf,14.86667,-15.63333,Diourbel,Mbacke,0,,,,,,,,,,,1
2252145,Doro,15.7224,-15.3628,Louga,Linguere,0,,,,,,,,,,,1
2252144,Doubel,14.41667,-14.75,Kaffrine,Koungheul,0,,,,,,,,,,,1
2252143,Doubel Badiel,12.46667,-12.6,Kedougou,Salemata,0,,,,,,,,,,,1
2252142,Doubel Baïdi Cissé,14.51215,-12.99914,Tambacounda,Goudiry,0,,,,,,,Cissé,Mandinka,,,1
2252141,Doubi,14.40176,-12.95001,Tambacounda,Goudiry,0,,,,,,,,,,,1
