geonameid,name,asciiname,lat,lon,feature_code,admin1_code,admin2_code,population,lang_guess,name_root,name_dupe_count
2250755,Karé Sissé,Kare Sisse,14.85,-15.75,PPL,03,,0,,,1
2250757,Karénaye,Karenaye,13.12059,-16.11763,PPL,12,,0,,,1
2250745,Kas,Kas,14.88333,-16.46667,PPL,03,,0,,,1
2250744,Kasi,Kasi,12.54639,-15.55444,PPL,18,,0,,,1
2250743,Kaskas,Kaskas,16.37863,-14.05603,PPL,14,,0,,,1
2250742,Kassaguéri,Kassagueri,13.32875,-11.64618,PPL,17,,0,,,1
13658780,Kassana Bodian,Kassana Bodian,13.13842,-16.0523,PPL,12,2253903,0,,,1
2254113,Kassane,Kassane,13.13006,-16.07431,PPL,12,,0,,,1
2250740,Kassankili,Kassankili,12.72306,-16.30111,PPL,12,,0,,,1
13658796,Kassarane,Kassarane,13.0537,-16.14657,PPL,12,2253903,0,,,1
2250738,Kassas,Kassas,14.16077,-15.52435,PPL,16,,0,,,2
2250739,Kassas,Kassas,13.88333,-15.68333,PPL,10,,0,,,2
2250736,Kassassa,Kassassa,14.03333,-14.85,PPL,16,,0,,,1
2250732,Kassel,Kassel,12.87667,-16.7,PPL,12,,0,,,1
2250728,Kassila,Kassila,12.91194,-16.28056,PPL,12,,0,,,1
2250727,Kassili,Kassili,12.89083,-16.16194,PPL,12,,0,,,1
2250726,Kassis,Kassis,12.88333,-16.18333,PPL,12,,0,,,1
2250725,Kassou,Kassou,12.36944,-16.41111,PPL,12,,0,,,1
2250734,Kassé Dimmbo,Kasse Dimmbo,15.25,-16.18333,PPL,13,,0,,,1
2250731,Kassé Médina,Kasse Medina,14.31667,-15.85,PPL,09,,0,,,1
2250730,Kassépol,Kassepol,13.05,-14.78333,PPL,11,,0,,,1
2250724,Kataba,Kataba,13.31667,-13.95,PPL,11,,0,Pulaar/Fulani,clan/family name root,1
2250721,Kataba Deux,Kataba Deux,13.00959,-16.55486,PPL,12,,0,,,1
2250722,Kataba Guidima,Kataba Guidima,12.98194,-15.64111,PPL,18,,0,,,1
2250720,Kataba Samba,Kataba Samba,12.91667,-14.26667,PPL,11,,0,Pulaar/Fulani,clan/family name root,1
2251799,Kataba Trois,Kataba Trois,13.01545,-16.54604,PPL,12,,0,,,1
2250723,Kataba Un,Kataba Un,13.02644,-16.57357,PPL,12,,0,,,1
2250719,Katabina,Katabina,12.84333,-15.33611,PPL,18,,0,,,1
2250717,Katakel,Katakel,13.95,-15.45,PPL,16,,0,,,1
13658728,Kataki,Kataki,13.08758,-16.72558,PPL,12,2253903,0,,,1
2250716,Katama,Katama,12.61667,-16.38333,PPL,12,,0,,,2
13658757,Katama,Katama,13.14951,-16.15598,PPL,12,2253903,0,,,2
2250713,Kateumteum,Kateumteum,12.98333,-16.48333,PPL,12,,0,,,1
2250712,Kati,Kati,13.9,-14.95,PPL,16,,0,,,1
2250711,Katia,Katia,13.01667,-14.81667,PPL,11,,0,,,1
2250710,Katial,Katial,14.00921,-15.3197,PPL,16,,0,,,1
2250709,Katiaouane,Katiaouane,13.95,-15.51667,PPL,16,,0,,,1
2250707,Katinong,Katinong,12.98722,-16.31083,PPL,12,,0,,,1
13658765,Katinoro,Katinoro,13.14676,-16.16038,PPL,12,2253903,0,,,1
2250706,Katio,Katio,12.48333,-16.36667,PPL,11,,0,,,1
2250705,Katior,Katior,13.68945,-16.51288,PPL,09,,0,,,1
2250704,Katiot,Katiot,13.93333,-15.4,PPL,16,,0,,,1
